Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Consistency,0.1,10,42,0.6742857142857143,0.5960884353741497,0.6935714285714286,0.6116519920778558,-0.015563556703706127,0.1001730852444829,0.5942857142857143
AraBERTv2,Consistency,0.1,10,43,0.6742857142857143,0.5960884353741497,0.6885714285714286,0.6082267253042918,-0.012138289930142099,0.09941583729987019,0.5964285714285714
AraBERTv2,Consistency,0.1,10,44,0.6742857142857143,0.5960884353741497,0.6857142857142857,0.6052739501312336,-0.009185514757083957,0.09714409346603202,0.5814285714285714
AraBERTv2,Consistency,0.1,10,45,0.6742857142857143,0.5960884353741497,0.6921428571428572,0.6098415118544426,-0.013753076480292892,0.09974037213327563,0.59
AraBERTv2,Consistency,0.1,10,46,0.6742857142857143,0.5960884353741497,0.7,0.6182056183510638,-0.022117182976914118,0.1020121159671138,0.61
AraBERTv2,Consistency,0.2,20,42,0.6742857142857143,0.5960884353741497,0.6892857142857143,0.6049023252373992,-0.008813889863249491,0.19699264387710946,0.84
AraBERTv2,Consistency,0.2,20,43,0.6742857142857143,0.5960884353741497,0.7057142857142857,0.6203024941017863,-0.0242140587276366,0.20012981393336218,0.855
AraBERTv2,Consistency,0.2,20,44,0.6742857142857143,0.5960884353741497,0.7021428571428572,0.6160299283558412,-0.019941492981691566,0.20099524015577672,0.8571428571428571
AraBERTv2,Consistency,0.2,20,45,0.6742857142857143,0.5960884353741497,0.7071428571428572,0.620815761380812,-0.024727326006662276,0.20142795326698398,0.8614285714285714
AraBERTv2,Consistency,0.2,20,46,0.6742857142857143,0.5960884353741497,0.6914285714285714,0.6079560039515546,-0.011867568577404897,0.19991345737775854,0.8464285714285714
AraBERTv2,Consistency,0.3,30,42,0.6742857142857143,0.5960884353741497,0.7042857142857143,0.6143774151310957,-0.01828897975694599,0.29792297706620513,0.915
AraBERTv2,Consistency,0.3,30,43,0.6742857142857143,0.5960884353741497,0.71,0.6204594017094017,-0.024370966335252042,0.3006274340112505,0.9292857142857143
AraBERTv2,Consistency,0.3,30,44,0.6742857142857143,0.5960884353741497,0.6971428571428572,0.6021831673082491,-0.006094731934099373,0.2996538295110342,0.9214285714285714
AraBERTv2,Consistency,0.3,30,45,0.6742857142857143,0.5960884353741497,0.6985714285714286,0.6062162904348151,-0.01012785506066538,0.29987018606663784,0.92
AraBERTv2,Consistency,0.3,30,46,0.6742857142857143,0.5960884353741497,0.7107142857142857,0.6189595512459082,-0.022871115871758496,0.30149286023366506,0.9307142857142857
AraBERTv2,Validity,0.1,10,42,0.6742857142857143,0.5960884353741497,0.7628571428571429,0.6067934718241467,-0.010705036449996985,0.10112234692743638,0.6085714285714285
AraBERTv2,Validity,0.1,10,43,0.6742857142857143,0.5960884353741497,0.77,0.6220099545204524,-0.025921519146302696,0.10056672963662629,0.5992857142857143
AraBERTv2,Validity,0.1,10,44,0.6742857142857143,0.5960884353741497,0.7635714285714286,0.608561637182083,-0.01247320180793332,0.10190021113457051,0.6064285714285714
AraBERTv2,Validity,0.1,10,45,0.6742857142857143,0.5960884353741497,0.7728571428571429,0.631021999443052,-0.034933564068902356,0.09889987776419602,0.5907142857142857
AraBERTv2,Validity,0.1,10,46,0.6742857142857143,0.5960884353741497,0.7678571428571429,0.6190476190476191,-0.022959183673469385,0.09778864318257584,0.5871428571428572
AraBERTv2,Validity,0.2,20,42,0.6742857142857143,0.5960884353741497,0.8442857142857143,0.6492212067158278,-0.05313277134167815,0.19913323702633626,0.8992857142857142
AraBERTv2,Validity,0.2,20,43,0.6742857142857143,0.5960884353741497,0.8335714285714285,0.6295198409047802,-0.03343140553063051,0.1987998666518502,0.8842857142857142
AraBERTv2,Validity,0.2,20,44,0.6742857142857143,0.5960884353741497,0.8257142857142857,0.609258827135922,-0.013170391761772371,0.20235581731303479,0.9007142857142857
AraBERTv2,Validity,0.2,20,45,0.6742857142857143,0.5960884353741497,0.8385714285714285,0.6255018559200061,-0.029413420545856384,0.20180020002222468,0.9114285714285715
AraBERTv2,Validity,0.2,20,46,0.6742857142857143,0.5960884353741497,0.825,0.6122677138829636,-0.016179278508813955,0.19957773085898434,0.9042857142857142
AraBERTv2,Validity,0.3,30,42,0.6742857142857143,0.5960884353741497,0.8557142857142858,0.6114850941063333,-0.015396658732183655,0.3008112012445827,0.9757142857142858
AraBERTv2,Validity,0.3,30,43,0.6742857142857143,0.5960884353741497,0.8478571428571429,0.6012297422168257,-0.005141306842675997,0.3014779419935548,0.9707142857142858
AraBERTv2,Validity,0.3,30,44,0.6742857142857143,0.5960884353741497,0.85,0.59110102308193,0.004987412292219662,0.3014779419935548,0.9792857142857143
AraBERTv2,Validity,0.3,30,45,0.6742857142857143,0.5960884353741497,0.8542857142857143,0.5900227382346861,0.006065697139463588,0.2999222135792866,0.9728571428571429
AraBERTv2,Validity,0.3,30,46,0.6742857142857143,0.5960884353741497,0.8464285714285714,0.5877384371588741,0.0083499982152756,0.2994777197466385,0.9735714285714285
AraBERTv2,Understandability,0.1,10,42,0.6742857142857143,0.5960884353741497,0.6721428571428572,0.591833882869155,0.004254552504994735,0.09712190243360373,0.30857142857142855
AraBERTv2,Understandability,0.1,10,43,0.6742857142857143,0.5960884353741497,0.6778571428571428,0.5976742333731582,-0.001585797999008487,0.09034337148572064,0.28714285714285714
AraBERTv2,Understandability,0.1,10,44,0.6742857142857143,0.5960884353741497,0.67,0.5901338085111236,0.005954626863026058,0.10356706300700078,0.33
AraBERTv2,Understandability,0.1,10,45,0.6742857142857143,0.5960884353741497,0.6807142857142857,0.600605282757802,-0.004516847383652323,0.09845538393154794,0.3142857142857143
AraBERTv2,Understandability,0.1,10,46,0.6742857142857143,0.5960884353741497,0.6742857142857143,0.5967161169523261,-0.0006276815781763867,0.11090121124569396,0.35285714285714287
AraBERTv2,Understandability,0.2,20,42,0.6742857142857143,0.5960884353741497,0.6771428571428572,0.5964604839923373,-0.0003720486181876259,0.19557728636515168,0.5828571428571429
AraBERTv2,Understandability,0.2,20,43,0.6742857142857143,0.5960884353741497,0.6835714285714286,0.6022602290370555,-0.006171793662905767,0.19968885431714634,0.5964285714285714
AraBERTv2,Understandability,0.2,20,44,0.6742857142857143,0.5960884353741497,0.6757142857142857,0.5946749109126575,0.0014135244614922327,0.20024447160795644,0.5935714285714285
AraBERTv2,Understandability,0.2,20,45,0.6742857142857143,0.5960884353741497,0.6764285714285714,0.5984324809996258,-0.0023440456254760766,0.20235581731303479,0.6042857142857143
AraBERTv2,Understandability,0.2,20,46,0.6742857142857143,0.5960884353741497,0.6721428571428572,0.5924758329797779,0.0036126023943717778,0.20313368152016892,0.6042857142857143
