Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Consistency,0.3,30,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7603034134007586,0.6566909917557191,0.7592989845377371,0.01293893732107354,0.29983734514541754,0.9946902654867257
AraBERTv2,Validity,0.1,10,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7754740834386852,0.6644585039464405,0.769865931347726,0.005171425130352181,0.10032775162386032,0.9580278128950696
AraBERTv2,Validity,0.1,10,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7724399494310998,0.6526706860453215,0.7659431035109042,0.016959243031471116,0.09997020439783089,0.9572692793931732
AraBERTv2,Validity,0.1,10,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7774968394437421,0.6695493731117591,0.7722576663287635,8.055596503353524e-05,0.10005363208390441,0.9585335018963338
AraBERTv2,Validity,0.1,10,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7749683944374209,0.6658249157733929,0.7694508773982396,0.0038050133033997735,0.09993444967522794,0.9549936788874842
AraBERTv2,Validity,0.1,10,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7749683944374209,0.6625491839883658,0.7692487075428945,0.007080745088426821,0.10000595912043382,0.9565107458912768
AraBERTv2,Validity,0.2,20,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7706700379266751,0.6571382391722383,0.7629710233232523,0.012491689904554293,0.19951135212442644,0.9951959544879899
AraBERTv2,Validity,0.2,20,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7683944374209861,0.6523807835951964,0.7611533832054301,0.017249145481596284,0.2002502830582206,0.9936788874841972
AraBERTv2,Validity,0.2,20,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7721871049304677,0.6593824601417103,0.7653681022143358,0.010247468935082327,0.2002979560216912,0.9946902654867257
AraBERTv2,Validity,0.2,20,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.765865992414665,0.6543282111461535,0.758914148595179,0.01530171793063917,0.1999523270365294,0.9941845764854614
AraBERTv2,Validity,0.2,20,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.770417193426043,0.6573715287967548,0.7629167789566124,0.012258400280037884,0.19986889935045588,0.9939317319848293
AraBERTv2,Validity,0.3,30,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7565107458912769,0.6392762266656946,0.7475703840866984,0.030353702411098027,0.30006555032477206,0.9987357774968394
AraBERTv2,Validity,0.3,30,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7600505689001265,0.6450385993637379,0.7511969922910523,0.024591329713054777,0.2997556760622132,0.9989886219974715
AraBERTv2,Validity,0.3,30,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7537294563843236,0.6335754748703728,0.7441698258550616,0.03605445420641984,0.2996007389309338,0.9989886219974715
AraBERTv2,Validity,0.3,30,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7580278128950695,0.6381632572929223,0.7491719886678754,0.031466671783870304,0.2998510219891544,0.9989886219974715
AraBERTv2,Validity,0.3,30,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7575221238938054,0.6379930371005247,0.748045473463647,0.031636891976267956,0.30020856921518385,0.9987357774968394
AraBERTv2,Understandability,0.1,10,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7802781289506954,0.6760513776495023,0.7769573093977639,-0.006421448572709654,0.09118646087837436,0.7752212389380531
AraBERTv2,Understandability,0.1,10,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7769911504424779,0.6693191612582942,0.7739626686569101,0.0003107678184984808,0.09091234133841845,0.7767383059418458
AraBERTv2,Understandability,0.1,10,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7797724399494311,0.6725907643865366,0.7756697231297737,-0.0029608353097440032,0.0917942911626244,0.7876106194690266
AraBERTv2,Understandability,0.1,10,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7739570164348926,0.663086971897654,0.7709495921786402,0.006542957179138664,0.0917942911626244,0.7878634639696587
AraBERTv2,Understandability,0.1,10,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.781795195954488,0.6761501782206661,0.7797502888157419,-0.006520249143873502,0.09213992014778619,0.7898862199747155
