Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Weighted_F1_Mean,Weighted_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,N_Runs
CAMeLBERT-Mix,Consistency,30,75.77749683944374,64.86347976153796,75.77637460165833,73.36030341340076,0.4946972278693548,62.68194781437016,0.7308503764743995,73.58871898732178,0.5034581572064246,2.1815319471677874,0.7308503764743982,29.995191963418005,0.01897908795250363,99.44879898862199,5
CAMeLBERT-Mix,Textual Accuracy,10,75.77749683944374,64.86347976153796,75.77637460165833,75.36283185840709,0.4725554812497244,64.15306765619466,0.43942207116030757,75.18166874286504,0.48451216887308035,0.710412105343301,0.4394220711603071,9.973877575961259,0.04238993270958794,90.97850821744628,5
CAMeLBERT-Mix,Textual Accuracy,20,75.77749683944374,64.86347976153796,75.77637460165833,74.34639696586599,0.44251399527494867,62.51089320954829,0.6636594056301689,73.9814940270897,0.4254675149862255,2.3525865519896683,0.6636594056301697,19.978307694657886,0.05996787835929962,98.4677623261694,5
CAMeLBERT-Mix,Textual Accuracy,30,75.77749683944374,64.86347976153796,75.77637460165833,72.18710493046775,0.2781289506953231,59.9773289035858,0.21587559629461403,71.65912023160975,0.23129094400456393,4.88615085795215,0.21587559629461534,30.049342356517624,0.023876963639345414,99.46902654867257,5
CAMeLBERT-Mix,Understandability,10,75.77749683944374,64.86347976153796,75.77637460165833,75.83817951959546,0.3710013817350106,64.55800415655276,0.37342656411447267,75.66908988818156,0.3001922980646514,0.30547560498519033,0.37342656411447606,9.156546093796555,0.05012325267940255,78.34639696586599,5
CAMeLBERT-Mix,Understandability,20,75.77749683944374,64.86347976153796,75.77637460165833,75.84829329962074,0.25183109174187174,64.60104574914386,0.3242475063790875,75.59342807956124,0.2505111069011022,0.2624340123941038,0.3242475063790853,17.06978130028008,0.05226797492384445,95.66118836915297,5
CAMeLBERT-Mix,Understandability,30,75.77749683944374,64.86347976153796,75.77637460165833,75.92414664981038,0.4402690034827603,64.50408465356632,0.9076024517062582,75.59636765345337,0.5012386937459472,0.35939510797164065,0.907602451706261,25.991776413801322,0.05085612672654007,98.48293299620734,5
CAMeLBERT-Mix,Validity,10,75.77749683944374,64.86347976153796,75.77637460165833,74.86725663716814,0.23035230288607553,64.61257208997068,0.1493902292489593,74.92519511603302,0.22267115486969474,0.250907671567282,0.14939022924895914,10.005839938025147,0.01568958439546056,95.70670037926675,5
CAMeLBERT-Mix,Validity,20,75.77749683944374,64.86347976153796,75.77637460165833,73.51706700379268,0.16637859799101437,63.50570966223535,0.3811076390141228,73.59791271413539,0.18661969551018906,1.3577700993026087,0.38110763901412015,19.99761635182647,0.031891039056693285,99.43362831858407,5
CAMeLBERT-Mix,Validity,30,75.77749683944374,64.86347976153796,75.77637460165833,71.39823008849558,0.39471286048881904,61.677383171766095,0.42133659823643743,71.4059211505677,0.39294557576987166,3.1860965897718656,0.42133659823644,29.989631130445147,0.024255889503395873,99.88874841972188,5
