Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Textual Accuracy,10,43,0.728,0.3523508000686687,0.7193333333333334,0.3549344280343287,-0.0025836279656599737,0.10027326552299985,0.8256666666666667
CAMeLBERT-Mix,Textual Accuracy,10,44,0.728,0.3523508000686687,0.7213333333333334,0.3578399145424215,-0.005489114473752776,0.09913465917716714,0.8233333333333334
CAMeLBERT-Mix,Textual Accuracy,10,45,0.728,0.3523508000686687,0.724,0.3544864819811978,-0.0021356819125291082,0.1006021962451293,0.8293333333333334
CAMeLBERT-Mix,Textual Accuracy,10,46,0.728,0.3523508000686687,0.7226666666666667,0.348785033986851,0.0035657660818176895,0.09959010171550023,0.8166666666666667
CAMeLBERT-Mix,Textual Accuracy,20,42,0.728,0.3523508000686687,0.7226666666666667,0.355276106680455,-0.0029253066117863047,0.20006578614442588,0.923
CAMeLBERT-Mix,Textual Accuracy,20,43,0.728,0.3523508000686687,0.7223333333333334,0.36320572427100856,-0.010854924202339855,0.20014169323414807,0.9266666666666666
CAMeLBERT-Mix,Textual Accuracy,20,44,0.728,0.3523508000686687,0.7183333333333334,0.35041787686710063,0.0019329232015680708,0.2000910885076666,0.9226666666666666
CAMeLBERT-Mix,Textual Accuracy,20,45,0.728,0.3523508000686687,0.7173333333333334,0.3464351173267901,0.005915682741878592,0.20021760032387026,0.9266666666666666
CAMeLBERT-Mix,Textual Accuracy,20,46,0.728,0.3523508000686687,0.721,0.3507041230643142,0.001646677004354502,0.19943322706340771,0.918
CAMeLBERT-Mix,Textual Accuracy,30,42,0.728,0.3523508000686687,0.7153333333333334,0.35610759071257486,-0.0037567906439061605,0.30046556348362935,0.961
CAMeLBERT-Mix,Textual Accuracy,30,43,0.728,0.3523508000686687,0.714,0.34212836613734515,0.010222433931323549,0.30013663276149993,0.9563333333333334
CAMeLBERT-Mix,Textual Accuracy,30,44,0.728,0.3523508000686687,0.7146666666666667,0.36387879507088555,-0.011527995002216851,0.3004149587571479,0.9586666666666667
CAMeLBERT-Mix,Textual Accuracy,30,45,0.728,0.3523508000686687,0.7156666666666667,0.34720177492706056,0.005149025141608143,0.2992763524113152,0.9546666666666667
CAMeLBERT-Mix,Textual Accuracy,30,46,0.728,0.3523508000686687,0.7263333333333334,0.3570647049666983,-0.004713904898029586,0.3002884469409443,0.9566666666666667
CAMeLBERT-Mix,Completeness,10,42,0.728,0.3523508000686687,0.7223333333333334,0.3602069970821168,-0.007856197013448085,0.10071999367038531,0.8826666666666667
