Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Sarcastic_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Validity,0.2,20,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7843333333333333,0.6876628767295005,0.5138993238166792,0.026221361491020834,0.19916528206345438,0.9536666666666667
AraBERTv2,Validity,0.2,20,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7843333333333333,0.6856292735023701,0.5094768764215315,0.028254964718151254,0.1998378036237044,0.9556666666666667
AraBERTv2,Validity,0.2,20,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7863333333333333,0.6922076681105536,0.5219985085756897,0.02167657010996782,0.19938286256824117,0.9516666666666667
AraBERTv2,Validity,0.3,30,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.787,0.6857269372016188,0.5073245952197378,0.02815730101890257,0.3001621963762956,0.9773333333333334
AraBERTv2,Validity,0.3,30,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7846666666666666,0.6821066389518771,0.5015432098765432,0.03177759926864432,0.29958857504549413,0.9773333333333334
AraBERTv2,Validity,0.3,30,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7823333333333333,0.6777599596270569,0.4941905499612703,0.036124278593464454,0.3001226362845162,0.9793333333333333
AraBERTv2,Validity,0.3,30,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7856666666666666,0.6823373123233527,0.5011636927851048,0.031546925897168676,0.30061713743175883,0.98
AraBERTv2,Validity,0.3,30,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7826666666666666,0.6766127533613426,0.4914196567862715,0.03727148485917875,0.30004351610095736,0.977
AraBERTv2,Understandability,0.1,10,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.783,0.7068517878363456,0.557443915703603,0.00703245038417577,0.10064087348682649,0.717
AraBERTv2,Understandability,0.1,10,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.789,0.7149572683569996,0.5696804894629504,-0.0010730301364781925,0.09874198908141467,0.7016666666666667
