Model,Dimension,Severity,Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Consistency,30,42,0.615648583615881,0.6133428783671931,0.4983320573116045,0.4951164483974341,0.11822642996975907,0.2999833579404428,0.9777972219184076
CAMeLBERT-Mix,Consistency,30,43,0.615648583615881,0.6133428783671931,0.5024062124029312,0.49958127280831854,0.1137616055588746,0.2999984870854948,0.9780843268073937
CAMeLBERT-Mix,Consistency,30,44,0.615648583615881,0.6133428783671931,0.5017226293339166,0.49865418322735766,0.11468869513983548,0.30006167351482965,0.9783030733894783
CAMeLBERT-Mix,Consistency,30,45,0.615648583615881,0.6133428783671931,0.5019823909001422,0.4990086283552787,0.11433425001191444,0.3001978358202978,0.9777562069342667
CAMeLBERT-Mix,Consistency,30,46,0.615648583615881,0.6133428783671931,0.4996855517882533,0.49663824681953683,0.11670463154765631,0.30005455391715813,0.9773734004156185
CAMeLBERT-Mix,Validity,10,42,0.615648583615881,0.6133428783671931,0.5432981515913814,0.5570893103103532,0.0562535680568399,0.10004660775097972,0.7791479820627802
CAMeLBERT-Mix,Validity,10,43,0.615648583615881,0.6133428783671931,0.5438723613693536,0.5579760010131348,0.05536687735405832,0.10021673107529014,0.7809116263808378
CAMeLBERT-Mix,Validity,10,44,0.615648583615881,0.6133428783671931,0.5449660942797768,0.5587853428551897,0.054557535512003486,0.09996506935293745,0.7777808159247511
CAMeLBERT-Mix,Validity,10,45,0.615648583615881,0.6133428783671931,0.5437219730941704,0.5581475139907631,0.05519536437643002,0.09996506935293745,0.7786831455758504
CAMeLBERT-Mix,Validity,10,46,0.615648583615881,0.6133428783671931,0.5449660942797768,0.5590313543559339,0.05431152401125927,0.10004862104475853,0.779462430274527
CAMeLBERT-Mix,Validity,20,42,0.615648583615881,0.6133428783671931,0.500423821502789,0.5207333963112978,0.09260948205589536,0.20000060398813366,0.9584791643880565
CAMeLBERT-Mix,Validity,20,43,0.615648583615881,0.6133428783671931,0.4992890736082249,0.5194412930668721,0.093901585300321,0.20000765051635952,0.958274089467352
CAMeLBERT-Mix,Validity,20,44,0.615648583615881,0.6133428783671931,0.49938477523788694,0.5194337432792802,0.09390913508791299,0.2000428831574889,0.9583697910970141
CAMeLBERT-Mix,Validity,20,45,0.615648583615881,0.6133428783671931,0.49911134201028107,0.5192322282937571,0.094110650073436,0.19993416529343253,0.9583287761128733
CAMeLBERT-Mix,Validity,20,46,0.615648583615881,0.6133428783671931,0.5004101498414087,0.5212394840276859,0.0921033943395072,0.2000167103383642,0.958834627583944
CAMeLBERT-Mix,Validity,30,42,0.615648583615881,0.6133428783671931,0.4653423384009625,0.48572952363166155,0.1276133547355316,0.30019820877252495,0.9906075686317402
CAMeLBERT-Mix,Validity,30,43,0.615648583615881,0.6133428783671931,0.46754347588318934,0.488836817596044,0.12450606077114912,0.2998740684741347,0.9911270917641912
CAMeLBERT-Mix,Validity,30,44,0.615648583615881,0.6133428783671931,0.46572514491961065,0.4865310316885736,0.12681184667861956,0.29999083951330635,0.9908126435524445
CAMeLBERT-Mix,Validity,30,45,0.615648583615881,0.6133428783671931,0.4666958328776113,0.48754149851279105,0.1258013798544021,0.30002103891998866,0.9909083451821066
CAMeLBERT-Mix,Validity,30,46,0.615648583615881,0.6133428783671931,0.46675051952313246,0.4876229365191638,0.12571994184802937,0.29993144734683114,0.9906895986000219
CAMeLBERT-Mix,Understandability,10,42,0.615648583615881,0.6133428783671931,0.6082658864705239,0.6051958880053089,0.008146990361884265,0.10036772810870176,0.5326205840533742
CAMeLBERT-Mix,Understandability,10,43,0.615648583615881,0.6133428783671931,0.6098791425133983,0.6069758775649712,0.006367000802221967,0.10003352134141738,0.5308842830580772
CAMeLBERT-Mix,Understandability,10,44,0.615648583615881,0.6133428783671931,0.6091408727988625,0.6059434480927729,0.007399430274420249,0.1000456011040903,0.5307612381056546
CAMeLBERT-Mix,Understandability,10,45,0.615648583615881,0.6133428783671931,0.6103029640161872,0.6071367936266733,0.006206084740519868,0.09954026436560609,0.5274390243902439
CAMeLBERT-Mix,Understandability,10,46,0.615648583615881,0.6133428783671931,0.6088264245871158,0.6060176658966148,0.007325212470578379,0.09991876359602456,0.5304194465711474
CAMeLBERT-Mix,Understandability,20,42,0.615648583615881,0.6133428783671931,0.6022366838018156,0.598321056952124,0.015021821415069136,0.19977813502557387,0.7758804549928907
CAMeLBERT-Mix,Understandability,20,43,0.615648583615881,0.6133428783671931,0.603289401728098,0.5997061478972759,0.013636730469917202,0.20030964458318276,0.7785874439461884
CAMeLBERT-Mix,Understandability,20,44,0.615648583615881,0.6133428783671931,0.6020316088811112,0.5980380601483106,0.015304818218882521,0.19997443116900895,0.776878486273652
CAMeLBERT-Mix,Understandability,20,45,0.615648583615881,0.6133428783671931,0.602865580225309,0.5990473740868333,0.014295504280359861,0.19984558036716438,0.7762769331729191
CAMeLBERT-Mix,Understandability,20,46,0.615648583615881,0.6133428783671931,0.602400743738379,0.598666492016501,0.014676386350692128,0.19984960695472204,0.7765093514163841
CAMeLBERT-Mix,Understandability,30,42,0.615648583615881,0.6133428783671931,0.5949086733019796,0.5905627331271969,0.022780145239996274,0.3001267368433768,0.8959039702504649
CAMeLBERT-Mix,Understandability,30,43,0.615648583615881,0.6133428783671931,0.5975883189325166,0.5931191605757697,0.0202237177914234,0.30008244438024273,0.8963414634146342
CAMeLBERT-Mix,Understandability,30,44,0.615648583615881,0.6133428783671931,0.5962074811331073,0.5917796387607437,0.021563239606449458,0.2997774303727513,0.8959860002187466
CAMeLBERT-Mix,Understandability,30,45,0.615648583615881,0.6133428783671931,0.596521929344854,0.5922287838395384,0.02111409452765478,0.3001166703744827,0.897134419774691
CAMeLBERT-Mix,Understandability,30,46,0.615648583615881,0.6133428783671931,0.59727387072077,0.5928466278307859,0.020496250536407246,0.29996265340040285,0.8964234933829159
