Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Textual Accuracy,10,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7296351824087957,0.5571745018590765,0.7218331419535835,0.015891724977335375,0.09993940443213296,0.8520739630184908
CAMeLBERT-Mix,Textual Accuracy,20,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7261369315342329,0.555230571008561,0.7192414591424591,0.01783565582785085,0.2016101108033241,0.9625187406296851
CAMeLBERT-Mix,Textual Accuracy,20,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7231384307846077,0.5404858725374615,0.7159018422508472,0.03258035429895034,0.2005713296398892,0.9590204897551224
CAMeLBERT-Mix,Textual Accuracy,20,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7296351824087957,0.5527664717438057,0.7212337078761958,0.020299755092606175,0.19987880886426593,0.9585207396301849
CAMeLBERT-Mix,Textual Accuracy,20,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7246376811594203,0.558633209880013,0.7194045608198505,0.01443301695639887,0.19836391966759004,0.9555222388805598
CAMeLBERT-Mix,Textual Accuracy,20,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7086456771614192,0.532638705848193,0.702818614043219,0.04042752098821889,0.19901315789473684,0.9585207396301849
CAMeLBERT-Mix,Textual Accuracy,30,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7126436781609196,0.5396240333398401,0.7077978125603178,0.03344219349657174,0.29947195290858725,0.9780109945027486
CAMeLBERT-Mix,Textual Accuracy,30,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.6996501749125438,0.522446264835474,0.6956203072984457,0.05061996200093788,0.30176592797783935,0.9800099950024987
CAMeLBERT-Mix,Textual Accuracy,30,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.704647676161919,0.5337958830670698,0.7001112680521766,0.03927034376934202,0.2999913434903047,0.9770114942528736
CAMeLBERT-Mix,Textual Accuracy,30,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.712143928035982,0.5396957289991258,0.7069507767649394,0.03337049783728607,0.29964508310249305,0.9790104947526237
CAMeLBERT-Mix,Textual Accuracy,30,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.696151924037981,0.5165784293656617,0.6914149514144786,0.05648779747075017,0.2998182132963989,0.9760119940029985
CAMeLBERT-Mix,Completeness,10,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7316341829085458,0.5428633199287,0.7180446696177579,0.03020290690771188,0.10015298680044117,0.9020489755122438
CAMeLBERT-Mix,Completeness,10,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7346326836581709,0.5479633140398872,0.7222640470829237,0.025102912796524657,0.09976162521791725,0.895552223888056
CAMeLBERT-Mix,Completeness,10,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7331334332833583,0.5465612980666901,0.7200979729101943,0.02650492876972177,0.10043761340591312,0.9030484757621189
CAMeLBERT-Mix,Completeness,10,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7311344327836082,0.5461328876427184,0.718346024664621,0.02693333919369345,0.09990393852065321,0.8970514742628686
CAMeLBERT-Mix,Completeness,10,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7301349325337332,0.542727588196857,0.7174518786366721,0.030338638639554882,0.10025972177749315,0.9060469765117442
CAMeLBERT-Mix,Completeness,20,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7311344327836082,0.545373982835597,0.7157591155130033,0.027692244000814825,0.20027039527519835,0.9765117441279361
CAMeLBERT-Mix,Completeness,20,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.719640179910045,0.5175806742997574,0.7027031300041243,0.05548555253665444,0.19977229871562244,0.9750124937531235
CAMeLBERT-Mix,Completeness,20,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7261369315342329,0.5243550296821925,0.7100197640848508,0.04871119715421934,0.1994165154587825,0.9810094952523738
CAMeLBERT-Mix,Completeness,20,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.719640179910045,0.5194092751756603,0.701909114081489,0.05365695166075157,0.19970114206425446,0.9775112443778111
CAMeLBERT-Mix,Completeness,20,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7176411794102948,0.515204225569804,0.7008153730319732,0.05786200126660779,0.19945209378446652,0.9735132433783108
CAMeLBERT-Mix,Completeness,30,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7256371814092953,0.5123232995409792,0.7038381592468073,0.060742927295432625,0.29985412886469565,0.9895052473763118
CAMeLBERT-Mix,Completeness,30,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7201399300349826,0.5165252427028436,0.7006500937217117,0.05654098413356823,0.29910698402533176,0.9910044977511244
CAMeLBERT-Mix,Completeness,30,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7076461769115442,0.4886682065479767,0.6858594252048629,0.08439802028843513,0.3002099121215356,0.9895052473763118
CAMeLBERT-Mix,Completeness,30,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7181409295352323,0.4935629211479867,0.69462228524653,0.07950330568842512,0.2999252855160636,0.9920039980009995
CAMeLBERT-Mix,Completeness,30,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7101449275362319,0.4870263538682664,0.6869670686576637,0.08603987296814541,0.3010282136122674,0.9870064967516242
CAMeLBERT-Mix,Consistency,10,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7336331834082959,0.5588721650495753,0.7246371901226816,0.014194061786836576,0.10025934221383945,0.9220389805097451
CAMeLBERT-Mix,Consistency,10,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7306346826586707,0.5524884097168532,0.7203766049837191,0.02057781711955864,0.10025934221383945,0.920039980009995
CAMeLBERT-Mix,Consistency,10,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7336331834082959,0.5633266644311051,0.7254370576148983,0.009739562405306712,0.10014145938936697,0.9195402298850575
CAMeLBERT-Mix,Consistency,10,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7306346826586707,0.5585201389401503,0.7214754940206187,0.01454608789626155,0.09955204526700459,0.9135432283858071
CAMeLBERT-Mix,Consistency,10,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7336331834082959,0.5640487241476897,0.7239037592945515,0.009017502688722145,0.10078981492396558,0.9265367316341829
CAMeLBERT-Mix,Consistency,20,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7306346826586707,0.5579360255729636,0.7203204680587316,0.015130201263448217,0.2006955086643876,0.9810094952523738
CAMeLBERT-Mix,Consistency,20,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7241379310344828,0.5424637462766742,0.7140113206537401,0.030602480559737688,0.2003713308970883,0.9775112443778111
CAMeLBERT-Mix,Consistency,20,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7311344327836082,0.5557010292509234,0.7223603966532266,0.01736519758548849,0.20048921372156076,0.9785107446276862
CAMeLBERT-Mix,Consistency,20,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.719640179910045,0.5392618285985239,0.7103258025680862,0.033804398237887945,0.2005186844276789,0.9830084957521239
CAMeLBERT-Mix,Consistency,20,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7251374312843578,0.5554259238112407,0.716222739304552,0.017640303025171167,0.200047153129789,0.9830084957521239
CAMeLBERT-Mix,Consistency,30,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7156421789105447,0.5304439775242805,0.7047678813297336,0.04262224931213132,0.3002180832252741,0.9905047476261869
CAMeLBERT-Mix,Consistency,30,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7261369315342329,0.5543888731628539,0.71705412854593,0.01867735367355794,0.29889190144995875,0.9910044977511244
CAMeLBERT-Mix,Consistency,30,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7246376811594203,0.5424276101224845,0.7132835271079863,0.030638616713927314,0.29889190144995875,0.9895052473763118
CAMeLBERT-Mix,Consistency,30,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7226386806596702,0.5369298987131875,0.7116054215493673,0.036136328123224315,0.3003064953436284,0.9900049975012494
CAMeLBERT-Mix,Consistency,30,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7276361819090454,0.5407257387654618,0.7155437281985448,0.032340488070950024,0.30080749734763645,0.9885057471264368
CAMeLBERT-Mix,Validity,10,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7316341829085458,0.5074830074375949,0.7014961379924067,0.06558321939881695,0.10093570996548902,0.9045477261369316
CAMeLBERT-Mix,Validity,10,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7386306846576711,0.5115157724449997,0.7065990444574494,0.06155045439141216,0.09883658875013342,0.8985507246376812
CAMeLBERT-Mix,Validity,10,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7326336831584208,0.5046154853882711,0.7020447348151118,0.06845074144814078,0.09958373358949728,0.9005497251374313
CAMeLBERT-Mix,Validity,10,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7386306846576711,0.5099710900294764,0.7068887891348177,0.06309513680693546,0.09944142028676131,0.9030484757621189
CAMeLBERT-Mix,Validity,10,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.744127936031984,0.5310321433206802,0.7153807521183906,0.04203408351573168,0.09969046856654926,0.8940529735132434
CAMeLBERT-Mix,Validity,20,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7316341829085458,0.4761144344413859,0.6883705949998278,0.09695179239502594,0.20023481694951437,0.975512243878061
CAMeLBERT-Mix,Validity,20,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7266366816591704,0.46273043696487626,0.6813794693438688,0.11033578987153558,0.20087522681182624,0.984007996001999
CAMeLBERT-Mix,Validity,20,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7271364317841079,0.4615916437415266,0.6803597355691481,0.11147458309488523,0.19966556373857047,0.9780109945027486
CAMeLBERT-Mix,Validity,20,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7306346826586707,0.4701834524421873,0.6858359677405051,0.10288277439422455,0.20080407016045826,0.9770114942528736
CAMeLBERT-Mix,Validity,20,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.729135432283858,0.4694927253951851,0.6844188363487631,0.10357350144122673,0.20023481694951437,0.9800099950024987
CAMeLBERT-Mix,Validity,30,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7186406796601699,0.4280592348641121,0.6629519857690859,0.14500699197229971,0.29974739388764365,0.9900049975012494
CAMeLBERT-Mix,Validity,30,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7191404297851074,0.42091617401704584,0.6598443763870936,0.152150052819366,0.2999608638417476,0.9890054972513743
CAMeLBERT-Mix,Validity,30,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7161419290354822,0.41455480045600857,0.6571335422559936,0.15851142638040328,0.2998897071903796,0.9905047476261869
CAMeLBERT-Mix,Validity,30,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7206396801599201,0.4181624019716128,0.6607445210910527,0.15490382486479903,0.2995695022592237,0.9905047476261869
CAMeLBERT-Mix,Validity,30,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7181409295352323,0.4232611789830011,0.6610108670000252,0.14980504785341076,0.29793289927776,0.9895052473763118
CAMeLBERT-Mix,Understandability,10,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7361319340329835,0.5671838423540843,0.7275613898870477,0.005882384482327585,0.0978759739566656,0.6746626686656672
CAMeLBERT-Mix,Understandability,10,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7421289355322339,0.5708442961736173,0.7326808249126812,0.0022219306627945246,0.09673746753477781,0.6696651674162919
CAMeLBERT-Mix,Understandability,10,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7371314342828585,0.5615023678795883,0.7265816454157787,0.011563858956823547,0.09862311879602946,0.6816591704147926
CAMeLBERT-Mix,Understandability,10,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7311344327836082,0.5516530376250866,0.7214959231579853,0.02141318921132529,0.09883658875013342,0.6836581709145427
CAMeLBERT-Mix,Understandability,10,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.736631684157921,0.5585225362129418,0.7264826489147082,0.014543690623470051,0.09876543209876543,0.6831584207896052
CAMeLBERT-Mix,Understandability,20,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7266366816591704,0.5477401508033342,0.7180209180596084,0.025326076033077682,0.16771622727434446,0.9050474762618691
CAMeLBERT-Mix,Understandability,20,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.735632183908046,0.5718039272924652,0.7283746531043074,0.0012622995439466322,0.16728928736613655,0.8975512243878061
CAMeLBERT-Mix,Understandability,20,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.729135432283858,0.5522346414692212,0.7197030713323304,0.020831585367190653,0.16739602234318854,0.896551724137931
CAMeLBERT-Mix,Understandability,20,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7311344327836082,0.5568625458159335,0.7212943688365404,0.01620368102047831,0.1691749386273882,0.8990504747626187
CAMeLBERT-Mix,Understandability,20,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7321339330334833,0.55793488623125,0.7228502472353028,0.015131340605161858,0.16824990215960436,0.8930534732633684
CAMeLBERT-Mix,Understandability,30,42,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7331334332833583,0.5588134949104893,0.7236399521591904,0.01425273192592258,0.24961753299889708,0.9610194902548725
CAMeLBERT-Mix,Understandability,30,43,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7306346826586707,0.555781588000764,0.7219415311168097,0.017284638835647792,0.2493684847191091,0.9585207396301849
CAMeLBERT-Mix,Understandability,30,44,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7406296851574213,0.5673863712823037,0.73161073790251,0.005679855554108104,0.24869249653111325,0.9535232383808095
CAMeLBERT-Mix,Understandability,30,45,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7301349325337332,0.552567515271871,0.7208079619401674,0.02049871156454086,0.24858576155406126,0.953023488255872
CAMeLBERT-Mix,Understandability,30,46,0.7421289355322339,0.5730662268364118,0.7328104564196332,0.7316341829085458,0.5565944647499701,0.7214394679095503,0.016471762086441744,0.2507204610951009,0.9565217391304348
XLM-R,Textual Accuracy,10,42,0.7156421789105447,0.44845147100977323,0.6786454835267066,0.7071464267866067,0.44034667553358503,0.6738071663518378,0.008104795476188198,0.1009349030470914,0.8530734632683659
XLM-R,Textual Accuracy,10,43,0.7156421789105447,0.44845147100977323,0.6786454835267066,0.7166416791604198,0.44776573348644577,0.6815290453972916,0.0006857375233274565,0.09890062326869806,0.8445777111444278
XLM-R,Textual Accuracy,10,44,0.7156421789105447,0.44845147100977323,0.6786454835267066,0.7011494252873564,0.4294623031116907,0.6665479355005356,0.018989167898082526,0.09911703601108034,0.8455772113943029
XLM-R,Textual Accuracy,10,45,0.7156421789105447,0.44845147100977323,0.6786454835267066,0.7071464267866067,0.4376658244430747,0.6711833552795474,0.010785646566698504,0.09998268698060941,0.847576211894053
